walletTransactionId,tollTransactionId,transactionType,transactionStatus,tagSequenceNumber,tagId,transactionAmount,vehicleRegistrationNo,vehicleClass,vehicleDescription,plazaName,plazaId,laneDirection,transactionDateTime,walletTime,vehicleGroupName
'20220212111212800110168315004092368,'001631361483,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,70.0,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Sikandra Toll Plaza,'164001,E,2022-02-12 12:43:26,2022-02-12 21:03:16,
'20220212111212800110168319604044889,'0010002202122056512807,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,65.0,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Rajora Khurd,'330025,S,2022-02-12 20:56:44,2022-02-12 20:56:54,
'20220212111212800110168313804009237,'0010012202121913112853,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,20.0,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Ludhwai Toll Plaza,'163001,W,2022-02-12 19:07:41,2022-02-12 19:13:13,
'20220212111212800110168319003979225,'0010022202121839236664,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,45.0,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Amoli Toll Plaza,'163002,E,2022-02-12 18:35:36,2022-02-12 18:39:25,
'20220212111212800110168319303761718,'001630152119,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,65.0,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Rajadhok Toll Plaza,'164002,E,2022-02-12 11:40:01,2022-02-12 11:59:50,
'20220211111212800110168313903117739,'001627280640,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,65.0,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Rajadhok Toll Plaza,'164002,W,2022-02-11 09:22:55,2022-02-11 09:28:26,
'20220210111212800110168317403143510,'001626365377,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,70.0,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Sikandra Toll Plaza,'164001,W,2022-02-10 21:27:17,2022-02-10 22:13:23,
'20220210111212800110168313002936666,'0010012202102032082572,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,45.0,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Amoli Toll Plaza,'163002,W,2022-02-10 20:28:25,2022-02-10 20:32:15,
'20220210111212800110168311802886849,'0010002202101958296935,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,20.0,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Ludhwai Toll Plaza,'163001,E,2022-02-10 19:52:59,2022-02-10 19:58:31,
'20220210111212800110168317202990753,'0010032202101752122413,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,65.0,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Rajora Khurd,'330025,N,2022-02-10 17:51:59,2022-02-10 17:52:21,
